dataset_id,category,subcategory,indicator,region,year_label,year_num,value,unit,data_kind
traffic_ic_official,交通,高速道路,総交通量,西条市,令和元年,2019,4934170,台,actual
traffic_ic_official,交通,高速道路,いよ西条IC,西条市,令和元年,2019,2681866,台,actual
traffic_ic_official,交通,高速道路,いよ小松IC,西条市,令和元年,2019,1405692,台,actual
traffic_ic_official,交通,高速道路,東予丹原IC,西条市,令和元年,2019,767056,台,actual
traffic_ic_official,交通,高速道路,いよ小松北IC,西条市,令和元年,2019,79556,台,actual
traffic_ic_official,交通,高速道路,総交通量,西条市,令和2年,2020,4120948,台,actual
traffic_ic_official,交通,高速道路,いよ西条IC,西条市,令和2年,2020,2249458,台,actual
traffic_ic_official,交通,高速道路,いよ小松IC,西条市,令和2年,2020,1198694,台,actual
traffic_ic_official,交通,高速道路,東予丹原IC,西条市,令和2年,2020,605198,台,actual
traffic_ic_official,交通,高速道路,いよ小松北IC,西条市,令和2年,2020,67598,台,actual
traffic_ic_official,交通,高速道路,総交通量,西条市,令和3年,2021,4198356,台,actual
traffic_ic_official,交通,高速道路,いよ西条IC,西条市,令和3年,2021,2291976,台,actual
traffic_ic_official,交通,高速道路,いよ小松IC,西条市,令和3年,2021,1223320,台,actual
traffic_ic_official,交通,高速道路,東予丹原IC,西条市,令和3年,2021,613298,台,actual
traffic_ic_official,交通,高速道路,いよ小松北IC,西条市,令和3年,2021,69762,台,actual
traffic_ic_official,交通,高速道路,総交通量,西条市,令和4年,2022,4711179,台,actual
traffic_ic_official,交通,高速道路,いよ西条IC,西条市,令和4年,2022,2583291,台,actual
traffic_ic_official,交通,高速道路,いよ小松IC,西条市,令和4年,2022,1346247,台,actual
traffic_ic_official,交通,高速道路,東予丹原IC,西条市,令和4年,2022,698175,台,actual
traffic_ic_official,交通,高速道路,いよ小松北IC,西条市,令和4年,2022,83466,台,actual
traffic_ic_official,交通,高速道路,総交通量,西条市,令和5年,2023,4869757,台,actual
traffic_ic_official,交通,高速道路,いよ西条IC,西条市,令和5年,2023,2680692,台,actual
traffic_ic_official,交通,高速道路,いよ小松IC,西条市,令和5年,2023,1384807,台,actual
traffic_ic_official,交通,高速道路,東予丹原IC,西条市,令和5年,2023,718372,台,actual
traffic_ic_official,交通,高速道路,いよ小松北IC,西条市,令和5年,2023,85886,台,actual
traffic_ic_official,交通,高速道路,総交通量,西条市,令和6年,2024,4953328,台,actual
traffic_ic_official,交通,高速道路,いよ西条IC,西条市,令和6年,2024,2713862,台,actual
traffic_ic_official,交通,高速道路,いよ小松IC,西条市,令和6年,2024,1407281,台,actual
traffic_ic_official,交通,高速道路,東予丹原IC,西条市,令和6年,2024,747608,台,actual
traffic_ic_official,交通,高速道路,いよ小松北IC,西条市,令和6年,2024,84577,台,actual
