dataset_id,category,subcategory,indicator,region,year_label,year_num,value,unit,data_kind,source_title,source_table
gdp_city_official,経済,市内総生産,金融・保険業,西条市,令和3年度,2021,11809.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,金融・保険業,西条市,令和4年度,2022,12874.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,不動産業,西条市,令和2年度,2020,37340.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,不動産業,西条市,令和3年度,2021,36865.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,不動産業,西条市,令和4年度,2022,36369.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,専門・科学技術、業務支援サービス業,西条市,令和2年度,2020,13227.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,専門・科学技術、業務支援サービス業,西条市,令和3年度,2021,14050.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,専門・科学技術、業務支援サービス業,西条市,令和4年度,2022,14673.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,公務,西条市,令和2年度,2020,19659.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,公務,西条市,令和3年度,2021,19433.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,公務,西条市,令和4年度,2022,20097.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,教育,西条市,令和2年度,2020,13063.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,教育,西条市,令和3年度,2021,12846.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,教育,西条市,令和4年度,2022,13056.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,保健衛生・社会事業,西条市,令和2年度,2020,35210.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,保健衛生・社会事業,西条市,令和3年度,2021,35120.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,保健衛生・社会事業,西条市,令和4年度,2022,35559.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,その他のサービス,西条市,令和2年度,2020,12649.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,その他のサービス,西条市,令和3年度,2021,13202.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,その他のサービス,西条市,令和4年度,2022,13586.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,小計,西条市,令和2年度,2020,407151.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,小計,西条市,令和3年度,2021,447126.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,小計,西条市,令和4年度,2022,505383.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,輸入品に課される税・関税,西条市,令和2年度,2020,7221.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,輸入品に課される税・関税,西条市,令和3年度,2021,9249.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,輸入品に課される税・関税,西条市,令和4年度,2022,13427.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,（控除）消費税,西条市,令和2年度,2020,5769.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,（控除）消費税,西条市,令和3年度,2021,7396.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,（控除）消費税,西条市,令和4年度,2022,9189.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,市内総生産,西条市,令和2年度,2020,408603.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,市内総生産,西条市,令和3年度,2021,448978.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
gdp_city_official,経済,市内総生産,市内総生産,西条市,令和4年度,2022,509620.0,百万円,actual,西条市統計データ（2026年版）,47. 西条市内総生産
