dataset_id,category,subcategory,indicator,region,year_label,year_num,value,unit,data_kind
education_career_official,教育,中学卒業後,卒業者数,西条市,令和3年,2021,842.0,人,actual
education_career_official,教育,中学卒業後,高校進学者数,西条市,令和3年,2021,833.0,人,actual
education_career_official,教育,中学卒業後,就職者数,西条市,令和3年,2021,2.0,人,actual
education_career_official,教育,中学卒業後,その他進路,西条市,令和3年,2021,7.0,人,actual
education_career_official,教育,中学卒業後,高校進学率,西条市,令和3年,2021,98.9,%,actual
education_career_official,教育,中学卒業後,就職率,西条市,令和3年,2021,0.2,%,actual
education_career_official,教育,高校卒業後,卒業者数,西条市,令和3年,2021,672.0,人,actual
education_career_official,教育,高校卒業後,大学進学者数,西条市,令和3年,2021,335.0,人,actual
education_career_official,教育,高校卒業後,就職者数,西条市,令和3年,2021,189.0,人,actual
education_career_official,教育,高校卒業後,進学率,西条市,令和3年,2021,49.9,%,actual
education_career_official,教育,高校卒業後,就職率,西条市,令和3年,2021,28.1,%,actual
education_career_official,教育,中学卒業後,卒業者数,西条市,令和4年,2022,919.0,人,actual
education_career_official,教育,中学卒業後,高校進学者数,西条市,令和4年,2022,912.0,人,actual
education_career_official,教育,中学卒業後,就職者数,西条市,令和4年,2022,3.0,人,actual
education_career_official,教育,中学卒業後,その他進路,西条市,令和4年,2022,3.0,人,actual
education_career_official,教育,中学卒業後,高校進学率,西条市,令和4年,2022,99.2,%,actual
education_career_official,教育,中学卒業後,就職率,西条市,令和4年,2022,0.2,%,actual
education_career_official,教育,高校卒業後,卒業者数,西条市,令和4年,2022,656.0,人,actual
education_career_official,教育,高校卒業後,大学進学者数,西条市,令和4年,2022,336.0,人,actual
education_career_official,教育,高校卒業後,就職者数,西条市,令和4年,2022,169.0,人,actual
education_career_official,教育,高校卒業後,進学率,西条市,令和4年,2022,51.2,%,actual
education_career_official,教育,高校卒業後,就職率,西条市,令和4年,2022,26.4,%,actual
education_career_official,教育,中学卒業後,卒業者数,西条市,令和5年,2023,900.0,人,actual
education_career_official,教育,中学卒業後,高校進学者数,西条市,令和5年,2023,888.0,人,actual
education_career_official,教育,中学卒業後,就職者数,西条市,令和5年,2023,4.0,人,actual
education_career_official,教育,中学卒業後,その他進路,西条市,令和5年,2023,4.0,人,actual
education_career_official,教育,中学卒業後,高校進学率,西条市,令和5年,2023,98.7,%,actual
education_career_official,教育,中学卒業後,就職率,西条市,令和5年,2023,0.4,%,actual
education_career_official,教育,高校卒業後,卒業者数,西条市,令和5年,2023,626.0,人,actual
education_career_official,教育,高校卒業後,大学進学者数,西条市,令和5年,2023,340.0,人,actual
education_career_official,教育,高校卒業後,就職者数,西条市,令和5年,2023,161.0,人,actual
education_career_official,教育,高校卒業後,進学率,西条市,令和5年,2023,54.3,%,actual
education_career_official,教育,高校卒業後,就職率,西条市,令和5年,2023,25.6,%,actual
education_career_official,教育,中学卒業後,卒業者数,西条市,令和6年,2024,930.0,人,actual
education_career_official,教育,中学卒業後,高校進学者数,西条市,令和6年,2024,918.0,人,actual
education_career_official,教育,中学卒業後,就職者数,西条市,令和6年,2024,8.0,人,actual
education_career_official,教育,中学卒業後,その他進路,西条市,令和6年,2024,3.0,人,actual
education_career_official,教育,中学卒業後,高校進学率,西条市,令和6年,2024,98.7,%,actual
education_career_official,教育,中学卒業後,就職率,西条市,令和6年,2024,0.9,%,actual
education_career_official,教育,高校卒業後,卒業者数,西条市,令和6年,2024,586.0,人,actual
education_career_official,教育,高校卒業後,大学進学者数,西条市,令和6年,2024,319.0,人,actual
education_career_official,教育,高校卒業後,就職者数,西条市,令和6年,2024,144.0,人,actual
education_career_official,教育,高校卒業後,進学率,西条市,令和6年,2024,54.4,%,actual
education_career_official,教育,高校卒業後,就職率,西条市,令和6年,2024,24.6,%,actual
education_career_official,教育,中学卒業後,卒業者数,西条市,令和7年,2025,914.0,人,actual
education_career_official,教育,中学卒業後,高校進学者数,西条市,令和7年,2025,909.0,人,actual
education_career_official,教育,中学卒業後,就職者数,西条市,令和7年,2025,2.0,人,actual
education_career_official,教育,中学卒業後,その他進路,西条市,令和7年,2025,3.0,人,actual
education_career_official,教育,中学卒業後,高校進学率,西条市,令和7年,2025,99.5,%,actual
education_career_official,教育,中学卒業後,就職率,西条市,令和7年,2025,0.2,%,actual
education_career_official,教育,高校卒業後,卒業者数,西条市,令和7年,2025,643.0,人,actual
education_career_official,教育,高校卒業後,大学進学者数,西条市,令和7年,2025,333.0,人,actual
education_career_official,教育,高校卒業後,就職者数,西条市,令和7年,2025,161.0,人,actual
education_career_official,教育,高校卒業後,進学率,西条市,令和7年,2025,51.8,%,actual
education_career_official,教育,高校卒業後,就職率,西条市,令和7年,2025,25.0,%,actual
