dataset_id,category,subcategory,indicator,region,year_label,year_num,value,unit,data_kind
employment_official,雇用,職業紹介,新規求職申込件数,西条市,令和2年,2020,3690.0,件,actual
employment_official,雇用,職業紹介,有効求職者数,西条市,令和2年,2020,16815.0,人,actual
employment_official,雇用,職業紹介,新規求人数,西条市,令和2年,2020,7099.0,人,actual
employment_official,雇用,職業紹介,有効求人数,西条市,令和2年,2020,19883.0,人,actual
employment_official,雇用,職業紹介,就職件数,西条市,令和2年,2020,1401.0,件,actual
employment_official,雇用,職業紹介,求人倍率_新規,西条市,令和2年,2020,1.92,倍,actual
employment_official,雇用,職業紹介,求人倍率_有効,西条市,令和2年,2020,1.18,倍,actual
employment_official,雇用,職業紹介,新規求職申込件数,西条市,令和3年,2021,3887.0,件,actual
employment_official,雇用,職業紹介,有効求職者数,西条市,令和3年,2021,16474.0,人,actual
employment_official,雇用,職業紹介,新規求人数,西条市,令和3年,2021,7668.0,人,actual
employment_official,雇用,職業紹介,有効求人数,西条市,令和3年,2021,21220.0,人,actual
employment_official,雇用,職業紹介,就職件数,西条市,令和3年,2021,1456.0,件,actual
employment_official,雇用,職業紹介,求人倍率_新規,西条市,令和3年,2021,1.97,倍,actual
employment_official,雇用,職業紹介,求人倍率_有効,西条市,令和3年,2021,1.29,倍,actual
employment_official,雇用,職業紹介,新規求職申込件数,西条市,令和4年,2022,3935.0,件,actual
employment_official,雇用,職業紹介,有効求職者数,西条市,令和4年,2022,16076.0,人,actual
employment_official,雇用,職業紹介,新規求人数,西条市,令和4年,2022,7994.0,人,actual
employment_official,雇用,職業紹介,有効求人数,西条市,令和4年,2022,23008.0,人,actual
employment_official,雇用,職業紹介,就職件数,西条市,令和4年,2022,1427.0,件,actual
employment_official,雇用,職業紹介,求人倍率_新規,西条市,令和4年,2022,2.03,倍,actual
employment_official,雇用,職業紹介,求人倍率_有効,西条市,令和4年,2022,1.43,倍,actual
employment_official,雇用,職業紹介,新規求職申込件数,西条市,令和5年,2023,3915.0,件,actual
employment_official,雇用,職業紹介,有効求職者数,西条市,令和5年,2023,16424.0,人,actual
employment_official,雇用,職業紹介,新規求人数,西条市,令和5年,2023,7901.0,人,actual
employment_official,雇用,職業紹介,有効求人数,西条市,令和5年,2023,22261.0,人,actual
employment_official,雇用,職業紹介,就職件数,西条市,令和5年,2023,1490.0,件,actual
employment_official,雇用,職業紹介,求人倍率_新規,西条市,令和5年,2023,2.02,倍,actual
employment_official,雇用,職業紹介,求人倍率_有効,西条市,令和5年,2023,1.36,倍,actual
employment_official,雇用,職業紹介,新規求職申込件数,西条市,令和6年,2024,3807.0,件,actual
employment_official,雇用,職業紹介,有効求職者数,西条市,令和6年,2024,16226.0,人,actual
employment_official,雇用,職業紹介,新規求人数,西条市,令和6年,2024,7450.0,人,actual
employment_official,雇用,職業紹介,有効求人数,西条市,令和6年,2024,21289.0,人,actual
employment_official,雇用,職業紹介,就職件数,西条市,令和6年,2024,1410.0,件,actual
employment_official,雇用,職業紹介,求人倍率_新規,西条市,令和6年,2024,1.96,倍,actual
employment_official,雇用,職業紹介,求人倍率_有効,西条市,令和6年,2024,1.31,倍,actual
