dataset_id,category,subcategory,indicator,region,year_label,year_num,fiscal_or_calendar,age,sex,value,unit,data_kind,comparable,source_title,source_table,source_yearbook,source_department,notes
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,10,male,444,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,10,female,408,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,11,total,877,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,11,male,474,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,11,female,403,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,12,total,939,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,12,male,493,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,12,female,446,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,13,total,869,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,13,male,441,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,13,female,428,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,14,total,974,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,14,male,471,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,14,female,503,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,15,total,917,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,15,male,486,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,15,female,431,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,16,total,942,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,16,male,475,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,16,female,467,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,17,total,976,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,17,male,511,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,17,female,465,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,18,total,928,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,18,male,460,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,18,female,468,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,19,total,848,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,19,male,416,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,19,female,432,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,20,total,808,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,20,male,439,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,20,female,369,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,21,total,849,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,21,male,477,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,21,female,372,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,22,total,829,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,22,male,489,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,22,female,340,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,23,total,821,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,23,male,436,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,23,female,385,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,24,total,837,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,24,male,464,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,24,female,373,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,25,total,835,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,25,male,466,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,25,female,369,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,26,total,794,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,26,male,436,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,26,female,358,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,27,total,884,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,27,male,516,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,27,female,368,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,28,total,836,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,28,male,457,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,28,female,379,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
population_by_age_official,人口,年齢別人口,人口,西条市,令和7年,2025,calendar,29,total,855,人,actual,True,西条市統計データ（2026年版）,10. 年齢別住民基本台帳人口,2026,市民課,令和7年11月1日現在
